1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,file,file_load_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,parm,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,message
0,0,0,3968,0,0,0,1871,0,0,0,2531,0,0,0,4752,0.694125874,0.53154118,1,14889,0.53154118,review_body-bow-df_90-ngram13-112043-56-lda20,review_body-bow-df_90-ngram13-112043-56-lda.csv,0.01,0.138825175,0.106308236,0.2,28011,RN,"{'n_jobs': 6, 'radius': 30}",5.4,0,success,5/24/19 1:59,28011,20,5.41,84032,20,0,0.368956486,0.282536026,0.53154118,28011,
0.424062096,0.435672515,0.413054435,3968,0,0,0,1871,0,0,0,2531,0.000420256,0.142857143,0.000210438,4752,0.728527255,0.58798779,0.957351065,14889,0.567419942,review_body-bow-df_90-ngram13-112043-56-lda20,review_body-bow-df_90-ngram13-112043-56-lda.csv,0.01,0.230601921,0.233303489,0.274123188,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 1:59,28011,20,0.11,84032,20,0.1,0.44738559,0.398491874,0.567419942,28011,
0.420140242,0.342380952,0.54359879,3968,0.095862537,0.0830721,0.113308391,1871,0.11502231,0.154357951,0.091663374,2531,0.181893117,0.261970716,0.139309764,4752,0.679059231,0.673673078,0.684532205,14889,0.480347007,review_body-bow-df_90-ngram13-112043-56,review_body-bow-df_90-ngram13-112043-56.csv,0.01,0.298395487,0.30309096,0.314482505,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.6,0,success,5/24/19 2:00,28011,56,0.81,84032,56,0.2,0.468118444,0.470525108,0.480347007,28011,
,,,,,,,,,,,,,,,,,,,,,review_body-bow-df_90-ngram13-112043-56,review_body-bow-df_90-ngram13-112043-56.csv,,,,,,RN,"{'n_jobs': 6, 'radius': 30}",,,failed,5/24/19 2:01,,,,,,,,,,,"No neighbors found for test samples [13595, 13774], you can try using larger radius, give a label for outliers, or consider removing them from your dataset."
0.483050847,0.508928571,0.459677419,3968,0.02124431,0.198113208,0.011223944,1871,0.040302267,0.225806452,0.022125642,2531,0.086876495,0.346549192,0.0496633,4752,0.735508477,0.601829685,0.945530257,14889,0.578879726,review_body-bow-df_90-ngram13-112043-56,review_body-bow-df_90-ngram13-112043-56.csv,0.01,0.273396479,0.376245422,0.297644113,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 2:01,28011,56,0.11,84032,56,0.1,0.479180383,0.484418923,0.578879726,28011,
0.37716382,0.34595163,0.414566532,3968,0.105197245,0.126984127,0.089791555,1871,0.110479285,0.17555938,0.080600553,2531,0.199881141,0.18880988,0.21233165,4752,0.655099617,0.643676671,0.666935321,14889,0.462532576,review_body-tfidf-df_80-ngram11-112043-20,review_body-tfidf-df_80-ngram11-112043-20.csv,0,0.289564222,0.296196338,0.292845122,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.2,0,success,5/24/19 2:02,28011,20,0.4,84032,20,0.2,0.452559585,0.447523854,0.462532576,28011,
0,0,0,3968,0,0,0,1871,0,0,0,2531,0,0,0,4752,0.694125874,0.53154118,1,14889,0.53154118,review_body-tfidf-df_80-ngram11-112043-20,review_body-tfidf-df_80-ngram11-112043-20.csv,0,0.138825175,0.106308236,0.2,28011,RN,"{'n_jobs': 6, 'radius': 30}",5,0,success,5/24/19 2:07,28011,20,5.2,84032,20,0.2,0.368956486,0.282536026,0.53154118,28011,
0.436523438,0.423295455,0.450604839,3968,0,0,0,1871,0.003143418,0.285714286,0.001580403,2531,0.024242424,0.303030303,0.012626263,4752,0.730969218,0.59630965,0.944186984,14889,0.567991146,review_body-tfidf-df_80-ngram11-112043-20,review_body-tfidf-df_80-ngram11-112043-20.csv,0,0.2389757,0.321669939,0.281799698,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 2:07,28011,20,0.1,84032,20,0.1,0.454774256,0.454151355,0.567991146,28011,
0.37716382,0.34595163,0.414566532,3968,0.105197245,0.126984127,0.089791555,1871,0.110479285,0.17555938,0.080600553,2531,0.199881141,0.18880988,0.21233165,4752,0.655099617,0.643676671,0.666935321,14889,0.462532576,review_body-tfidf-df_80-ngram12-112043-20,review_body-tfidf-df_80-ngram12-112043-20.csv,0,0.289564222,0.296196338,0.292845122,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.2,0,success,5/24/19 2:07,28011,20,0.4,84032,20,0.2,0.452559585,0.447523854,0.462532576,28011,
0,0,0,3968,0,0,0,1871,0,0,0,2531,0,0,0,4752,0.694125874,0.53154118,1,14889,0.53154118,review_body-tfidf-df_80-ngram12-112043-20,review_body-tfidf-df_80-ngram12-112043-20.csv,0,0.138825175,0.106308236,0.2,28011,RN,"{'n_jobs': 6, 'radius': 30}",5,0,success,5/24/19 2:13,28011,20,5.2,84032,20,0.2,0.368956486,0.282536026,0.53154118,28011,
